Origin,Yearly_Flights,percent_delayed,percent_diverted_cancelled,PercentAirportFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirportFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,TotalScore,IATA,Airport Name,Latitude,Longitude
ATL,195905,0.35926597075112937,0.015584084122406269,0.25527245898171635,0.36007746576289945,34.297320337586314,0.75,1.0,0.75,0.75,1.0,4.25,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
DEN,152264,0.44942336993642623,0.022277097672463615,0.23240235407958398,0.45623931623931624,37.46937791351873,0.5,0.75,1.0,0.5,0.75,3.5,DEN,Denver International Airport,39.861698150635,-104.672996521
DFW,127001,0.4575160825505311,0.027346241368178204,0.2690481592134403,0.46646732165741134,44.120161776095,0.5,0.5,0.75,0.5,0.75,3.0,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002
LAS,126041,0.471933735847859,0.021564411580358774,0.2614734653610313,0.43907998342312476,37.674343930198546,0.5,0.75,0.75,0.5,0.75,3.25,LAS,Harry Reid International Airport,36.083361,-115.151817
ORD,111266,0.37474161019538765,0.022657415562705587,0.3328546464681382,0.3572625029911462,44.59960188027629,0.75,0.75,0.5,0.75,0.5,3.25,ORD,Chicago O'Hare International Airport,41.9786,-87.9048
LAX,105832,0.35282334265628545,0.016639579711240457,0.2953643173126705,0.3733726357160403,39.02530798071773,1.0,1.0,0.75,0.75,0.75,4.25,LAX,Los Angeles International Airport,33.942501,-118.407997
MCO,105561,0.46405395932209814,0.03268252479608946,0.3315395713122147,0.42237271131176324,44.44375944147308,0.5,0.5,0.5,0.75,0.5,2.75,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016
PHX,98783,0.3999372361641173,0.017776338033872224,0.1997769847084156,0.3823765020026702,35.362720530538894,0.75,1.0,1.0,0.75,0.75,4.25,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905
SEA,89563,0.40079050500764823,0.02259861773276911,0.36682343365156334,0.4226650803093397,32.12695007800312,0.75,0.75,0.5,0.5,1.0,3.5,SEA,Seattle–Tacoma International Airport,47.447943,-122.310276
CLT,87669,0.42087853175010553,0.021467109240438466,0.28282548905911997,0.4273759713090257,40.0682150794081,0.5,1.0,0.75,0.5,0.75,3.5,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594
