Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
ABQ,0.0030259245758655065,0.3381712626995646,0.027576197387518143,0.25380144098888785,0.39285714285714285,32.45922746781116,0.5,0.5,0.5,0.5,1.0,0.25,3.25,ABQ,Albuquerque International Sunport Airport,New Mexico,35.03893,-106.60826
ADK,0.0004567433322061142,0.4326923076923077,0.028846153846153848,0.06962119614871037,0.0,37.55555555555556,0.5,0.5,1.0,1.0,1.0,0.0,4.0,ADK,Adak Airport,Alaska,51.88358,-176.64248
ADQ,0.004022854733661544,0.2794759825327511,0.03384279475982533,0.2599735775674132,0.32142857142857145,30.49609375,1.0,0.25,0.5,0.5,1.0,0.25,3.5,ADQ,Kodiak Airport,Alaska,57.74979,-152.49394
AKN,0.0010101054462250602,0.5695652173913044,0.021739130434782608,0.03217260829419086,0.4,43.76335877862596,0.25,0.5,1.0,0.5,0.5,0.0,2.75,AKN,King Salmon Airport,Alaska,58.67649,-156.64869
ANC,0.06332921971550161,0.3852981969486824,0.023994452149791956,0.32511373051210446,0.3699421965317919,23.277177825773936,0.5,0.5,0.25,0.5,1.0,0.5,3.25,ANC,Ted Stevens Anchorage International Airport,Alaska,61.17408,-149.99814
ATL,0.004251226399764602,0.36363636363636365,0.027892561983471075,0.29855899050590806,0.34210526315789475,26.599431818181817,0.5,0.5,0.5,0.5,1.0,0.25,3.25,ATL,Hartsfield - Jackson Atlanta International Airport,Georgia,33.6367,-84.42786
AUS,0.0131796801918322,0.3795401532822393,0.029656781072975674,0.2051762865545004,0.3828125,27.287093942054433,0.5,0.5,1.0,0.5,1.0,0.5,4.0,AUS,Austin-Bergstrom International Airport,Texas,30.19453,-97.66988
BET,0.0031269351204880128,0.6067415730337079,0.02247191011235955,0.08930582088227251,0.5454545454545454,25.930555555555557,0.25,0.5,1.0,0.25,1.0,0.25,3.25,BET,Bethel Airport,Alaska,60.77856,-161.83717
BNA,0.003056666915533226,0.5014367816091954,0.02586206896551724,0.34287535403106717,0.5555555555555556,30.320916905444125,0.25,0.5,0.25,0.25,1.0,0.25,2.5,BNA,Nashville International Airport,Tennessee,36.12447,-86.67818
BOI,0.006684262996324094,0.3876478318002628,0.020367936925098553,0.25405793718604264,0.46875,25.33050847457627,0.5,0.5,0.5,0.25,1.0,0.25,3.0,BOI,Boise Air Trml/Gowen Field,Idaho,43.56436,-116.22286
BOS,0.01038212728206975,0.3422165820642978,0.02284263959390863,0.13703300364783638,0.3258426966292135,33.72682323856613,0.5,0.5,1.0,0.5,1.0,0.5,4.0,BOS,General Edward Lawrence Logan International Airport,Massachusetts,42.36294,-71.00639
BRW,0.0015942098999117255,0.6225895316804407,0.09090909090909091,0.06874022437475197,0.45454545454545453,31.81858407079646,0.25,0.25,1.0,0.25,1.0,0.25,3.0,BRW,Wiley Post-Will Rogers Memorial Airport,Alaska,71.28486,-156.76858
BUR,0.0077207190194072,0.29465301478953354,0.030147895335608646,0.2034047801884484,0.36231884057971014,35.55019305019305,1.0,0.25,1.0,0.5,1.0,0.25,4.0,BUR,Bob Hope Airport,California,34.20069,-118.35867
BWI,0.0020685202833565365,0.3205944798301486,0.055201698513800426,0.2751123683546298,0.35294117647058826,32.52317880794702,1.0,0.25,0.5,0.5,1.0,0.25,3.5,BWI,Baltimore/Washington International Thurgood Marshall Airport,Maryland,39.17573,-76.66899
BZN,0.00300835752462681,0.39416058394160586,0.02335766423357664,0.2422518311880459,0.52,29.996296296296297,0.5,0.5,0.5,0.25,1.0,0.25,3.0,BZN,Bozeman Yellowstone International Airport,Montana,45.77724,-111.15026
CDV,0.0015854263742923773,0.3628808864265928,0.0443213296398892,0.12544666232559015,0.18181818181818182,27.862595419847327,0.5,0.25,1.0,1.0,1.0,0.0,3.75,CDV,Merle K (Mudhole) Smith Airport,Alaska,60.49164,-145.47756
CHS,0.001550292271814984,0.42209631728045327,0.042492917847025496,0.3530418645549548,0.4166666666666667,28.778523489932887,0.5,0.25,0.25,0.5,1.0,0.0,2.5,CHS,Charleston Afb/International Airport,South Carolina,32.89864,-80.04053
CLE,0.0012692194519958366,0.370242214532872,0.02422145328719723,0.31513933031621183,0.3076923076923077,29.626168224299064,0.5,0.5,0.5,0.5,1.0,0.0,3.0,CLE,Cleveland-Hopkins International Airport,Ohio,41.40941,-81.85469
CMH,0.0015371169833859613,0.34285714285714286,0.04857142857142857,0.266137150534201,0.21428571428571427,34.40833333333333,0.5,0.25,0.5,1.0,1.0,0.0,3.25,CMH,John Glenn Columbus International Airport,Ohio,39.99695,-82.89216
CVG,0.0015942098999117255,0.2727272727272727,0.027548209366391185,0.17598198602361717,0.23076923076923078,37.464646464646464,1.0,0.5,1.0,1.0,1.0,0.25,4.75,CVG,Cincinnati/Northern Kentucky International Airport,Kentucky,39.04884,-84.66782
DAL,0.0031928115626331252,0.3658872077028886,0.037138927097661624,0.08550218775703172,0.5185185185185185,35.526315789473685,0.5,0.25,1.0,0.25,1.0,0.25,3.25,DAL,Dallas Love Field,Texas,32.84594,-96.85088
DCA,0.007993008313606999,0.41098901098901097,0.03021978021978022,0.21013774884619013,0.32857142857142857,41.57620320855615,0.5,0.25,0.5,0.5,0.5,0.25,2.5,DCA,Ronald Reagan Washington Ntl Airport,Dist. Of Columbia,38.85144,-77.03772
DEN,0.008115977672277876,0.41179653679653677,0.024891774891774892,0.2900758243256695,0.3125,35.92904073587385,0.5,0.5,0.5,0.5,1.0,0.25,3.25,DEN,Denver International Airport,Colorado,39.86167,-104.67317
DFW,0.008379483440858326,0.379979035639413,0.031446540880503145,0.2338161579732992,0.4166666666666667,35.19862068965517,0.5,0.25,0.5,0.5,1.0,0.25,3.0,DFW,Dallas-Fort Worth International Airport,Texas,32.89723,-97.03769
DLG,0.00048309390906415927,0.36363636363636365,0.0,0.20240672884743505,0.2,24.475,0.5,1.0,1.0,1.0,1.0,0.0,4.5,DLG,Dillingham Airport,Alaska,59.04467,-158.5055
