Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
ABE,0.007001353692085996,0.3866943866943867,0.029106029106029108,0.3083921198868206,0.45,43.365591397849464,0.5,0.5,0.5,0.25,0.5,0.25,2.5,ABE,Lehigh Valley International Airport,Pennsylvania,40.65236,-75.44041
ABQ,0.00017466994658010802,0.6666666666666666,0.16666666666666666,0.08652684163943355,0.0,61.25,0.25,0.25,1.0,1.0,0.25,0.0,2.75,ABQ,Albuquerque International Sunport Airport,New Mexico,35.03893,-106.60826
ALB,0.0027656074875183766,0.5105263157894737,0.03684210526315789,0.13563717777185527,0.3333333333333333,41.08247422680412,0.25,0.25,1.0,0.5,0.5,0.25,2.75,ALB,Albany International Airport,New York,42.74912,-73.80198
AMA,0.00045123069533194567,0.6129032258064516,0.06451612903225806,0.677326563222447,0.0,57.526315789473685,0.25,0.25,0.25,1.0,0.25,0.0,2.0,AMA,Rick Husband Amarillo International Airport,Texas,35.21936,-101.70592
ATW,0.007976594227158266,0.5364963503649635,0.023722627737226276,0.22211078705361897,0.6071428571428571,45.357142857142854,0.25,0.5,0.5,0.25,0.5,0.25,2.25,ATW,Appleton International Airport,Wisconsin,44.25809,-88.51907
AUS,0.020756611985269503,0.47685834502103785,0.021739130434782608,0.38123402035931164,0.421875,44.78235294117647,0.25,0.5,0.25,0.5,0.5,0.5,2.5,AUS,Austin-Bergstrom International Airport,Texas,30.19453,-97.66988
AVL,0.024439236692333444,0.4508636092912448,0.01786777843954735,0.2586485944267161,0.37333333333333335,42.22853368560106,0.25,0.5,0.5,0.5,0.5,0.5,2.75,AVL,Asheville Regional Airport,North Carolina,35.43611,-82.54205
AZA,0.01430837979068718,0.41912512716174977,0.018311291963377416,0.3611312936510607,0.36363636363636365,47.93689320388349,0.5,0.5,0.25,0.5,0.5,0.5,2.75,AZA,Phoenix-Mesa Gateway Airport,Arizona,33.30782,-111.65546
BGR,0.0003202282353968647,0.5909090909090909,0.0,0.03701328722703552,0.0,45.15384615384615,0.25,1.0,1.0,1.0,0.5,0.0,3.75,BGR,Bangor International Airport,Maine,44.80744,-68.82814
BIL,0.0017030319791560531,0.7863247863247863,0.0,0.14963975634484633,0.6,74.3695652173913,0.25,1.0,1.0,0.25,0.25,0.0,2.75,BIL,Billings Logan International Airport,Montana,45.80785,-108.54354
BIS,0.002096039358961296,0.5833333333333334,0.05555555555555555,0.18300776559544682,0.5714285714285714,57.0,0.25,0.25,1.0,0.25,0.25,0.25,2.25,BIS,Bismarck Municipal Airport,North Dakota,46.77273,-100.74574
BLI,0.009985298612829508,0.26384839650145775,0.004373177842565598,0.28533278713518606,0.13333333333333333,30.513812154696133,1.0,1.0,0.5,1.0,1.0,0.5,5.0,BLI,Bellingham International Airport,Washington,48.79269,-122.53753
BLV,0.004643309413254538,0.6206896551724138,0.01567398119122257,0.1535402794565583,0.47058823529411764,53.02020202020202,0.25,1.0,1.0,0.25,0.25,0.25,3.0,BLV,Scott Afb/Midamerica St Louis Airport,Illinois,38.54517,-89.83519
BNA,0.04547240942635478,0.4881562099871959,0.023687580025608196,0.24020790298748923,0.5263157894736842,42.5672131147541,0.25,0.5,0.5,0.25,0.5,0.5,2.5,BNA,Nashville International Airport,Tennessee,36.12447,-86.67818
BOI,0.005079984279704808,0.6160458452722063,0.02865329512893983,0.14592121266554284,0.6153846153846154,60.948837209302326,0.25,0.5,1.0,0.25,0.25,0.25,2.5,BOI,Boise Air Trml/Gowen Field,Idaho,43.56436,-116.22286
BOS,0.008558827382425293,0.5612244897959183,0.025510204081632654,0.2978086216143722,0.4857142857142857,42.56060606060606,0.25,0.5,0.5,0.25,0.5,0.5,2.5,BOS,General Edward Lawrence Logan International Airport,Massachusetts,42.36294,-71.00639
BWI,0.004337637006739349,0.5536912751677853,0.02348993288590604,0.15900243697578148,0.36363636363636365,52.8969696969697,0.25,0.5,1.0,0.5,0.25,0.25,2.75,BWI,Baltimore/Washington International Thurgood Marshall Airport,Maryland,39.17573,-76.66899
BZN,0.004017408771342484,0.6340579710144928,0.028985507246376812,0.11775923524253055,0.6153846153846154,45.82857142857143,0.25,0.5,1.0,0.25,0.5,0.25,2.75,BZN,Bozeman Yellowstone International Airport,Montana,45.77724,-111.15026
CAK,0.004104743744632538,0.3971631205673759,0.03546099290780142,0.14427995047976624,0.5,88.24107142857143,0.5,0.25,1.0,0.25,0.25,0.25,2.5,CAK,Akron-Canton Regional Airport,Ohio,40.91506,-81.44364
CHS,0.0035225105893655112,0.6942148760330579,0.024793388429752067,0.14011690908776656,0.625,45.482142857142854,0.25,0.5,1.0,0.25,0.5,0.25,2.75,CHS,Charleston Afb/International Airport,South Carolina,32.89864,-80.04053
CID,0.004861646846479673,0.5299401197604791,0.023952095808383235,0.051754017917406636,0.4,44.728813559322035,0.25,0.5,1.0,0.5,0.5,0.25,3.0,CID,The Eastern Iowa Airport,Iowa,41.9,-91.7
CKB,0.0003202282353968647,0.6363636363636364,0.0,0.2437221535260751,0.0,30.5,0.25,1.0,0.5,1.0,1.0,0.0,3.75,CKB,North Central West Virginia Airport,West Virginia,39.29765,-80.22753
CVG,0.050683396165994675,0.4928202182653647,0.030442274554853533,0.2563318272405886,0.4186046511627907,45.514568764568764,0.25,0.25,0.5,0.5,0.5,0.5,2.5,CVG,Cincinnati/Northern Kentucky International Airport,Kentucky,39.04884,-84.66782
DEN,0.00655012299675405,0.5577777777777778,0.028888888888888888,0.2706707278727353,0.68,45.601593625498005,0.25,0.5,0.5,0.25,0.5,0.25,2.25,DEN,Denver International Airport,Colorado,39.86167,-104.67317
DSM,0.015909520967671505,0.5416285452881976,0.018298261665141813,0.26324637830694597,0.5853658536585366,37.929054054054056,0.25,0.5,0.5,0.25,0.5,0.5,2.5,DSM,Des Moines International Airport,Iowa,41.5,-93.7
ELP,0.0016011411769843234,0.6636363636363637,0.00909090909090909,0.18471269879693913,0.75,62.36986301369863,0.25,1.0,1.0,0.25,0.25,0.0,2.75,ELP,El Paso International Airport,Texas,31.80733,-106.37636
EUG,0.005400212515101673,0.5363881401617251,0.026954177897574125,0.1867661246667478,0.38461538461538464,55.301507537688444,0.25,0.5,1.0,0.5,0.25,0.25,2.75,EUG,Mahlon Sweet Field,Oregon,44.12458,-123.21197
EWR,0.010421973479279778,0.4259776536312849,0.03212290502793296,0.23849604317746198,0.38461538461538464,40.16393442622951,0.5,0.25,0.5,0.5,0.5,0.5,2.75,EWR,Newark Liberty International Airport,New Jersey,40.69248,-74.16869
