Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
ABQ,0.0004947363806589388,0.6582278481012658,0.02531645569620253,0.17928115135268527,0.75,48.59615384615385,0.25,0.5,1.0,0.25,0.5,0.0,2.5,ABQ,Albuquerque International Sunport Airport,New Mexico,35.03893,-106.60826
ALB,0.0013088595387052936,0.3875598086124402,0.05263157894736842,0.06440026306070086,0.3333333333333333,62.95061728395062,0.5,0.25,1.0,0.5,0.25,0.0,2.5,ALB,Albany International Airport,New York,42.74912,-73.80198
ATL,0.05356930379945015,0.5507364975450082,0.024900631283610006,0.4298772188603529,0.5472779369627507,55.981744852472936,0.25,0.5,0.25,0.25,0.25,0.5,2.0,ATL,Hartsfield - Jackson Atlanta International Airport,Georgia,33.6367,-84.42786
AUS,0.0024110570449834357,0.44935064935064933,0.01818181818181818,0.16668880583123036,0.6666666666666666,49.50867052023121,0.25,0.5,1.0,0.25,0.5,0.25,2.75,AUS,Austin-Bergstrom International Airport,Texas,30.19453,-97.66988
BDL,0.008579605588642356,0.583941605839416,0.020437956204379562,0.22151998172988918,0.47368421052631576,68.86125,0.25,0.5,0.5,0.25,0.25,0.5,2.25,BDL,Bradley International Airport,Connecticut,41.93903,-72.68432
BIS,0.00038827412152980003,0.3870967741935484,0.0,0.07492848970251717,0.0,33.291666666666664,0.5,1.0,1.0,1.0,1.0,0.0,4.5,BIS,Bismarck Municipal Airport,North Dakota,46.77273,-100.74574
BKG,0.00029433683406291294,0.425531914893617,0.0,0.10653729699972474,0.0,52.25,0.5,1.0,1.0,1.0,0.25,0.0,3.75,BKG,Branson Airport,Missouri,36.53208,-93.20054
BMI,0.0007953357005529775,0.30708661417322836,0.015748031496062992,0.17567798066844637,0.2222222222222222,59.23076923076923,1.0,1.0,1.0,1.0,0.25,0.0,4.25,BMI,Central Il Regional/Bloomington-Normal Airport,Illinois,40.47711,-88.91592
BNA,0.0066257100093311035,0.4914933837429111,0.02551984877126654,0.24846142550479117,0.4418604651162791,38.87307692307692,0.25,0.5,0.5,0.25,0.5,0.25,2.25,BNA,Nashville International Airport,Tennessee,36.12447,-86.67818
BOS,0.0038890037011291264,0.5571658615136876,0.02576489533011272,0.3346593172623739,0.5238095238095238,54.79479768786127,0.25,0.5,0.25,0.25,0.25,0.25,1.75,BOS,General Edward Lawrence Logan International Airport,Massachusetts,42.36294,-71.00639
