Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
ABQ,0.0007810260819719118,0.6605504587155964,0.01834862385321101,0.17055007004743947,0.3333333333333333,48.013888888888886,0.25,0.5,1.0,0.5,0.5,0.0,2.75,ABQ,Albuquerque International Sunport Airport,New Mexico,35.03893,-106.60826
ACK,0.0029163083978217255,0.3501228501228501,0.04176904176904177,0.13514503234967762,0.25,61.80701754385965,0.5,0.25,1.0,1.0,0.25,0.25,3.25,ACK,Nantucket Memorial Airport,Massachusetts,41.3,-70.1
ALB,0.0024290627687016337,0.4528023598820059,0.028023598820058997,0.2391626444551841,0.5555555555555556,67.27687296416939,0.25,0.5,0.5,0.25,0.25,0.0,1.75,ALB,Albany International Airport,New York,42.74912,-73.80198
ATL,0.008297506448839208,0.5526770293609672,0.018998272884283247,0.42910824813589593,0.5263157894736842,56.48515625,0.25,0.5,0.25,0.25,0.25,0.25,1.75,ATL,Hartsfield - Jackson Atlanta International Airport,Georgia,33.6367,-84.42786
AUS,0.004438950988822012,0.4891041162227603,0.025020177562550445,0.360459735831173,0.5111111111111111,51.886138613861384,0.25,0.5,0.25,0.25,0.25,0.25,1.75,AUS,Austin-Bergstrom International Airport,Texas,30.19453,-97.66988
AVL,0.0002543708799082832,0.5492957746478874,0.014084507042253521,0.30177902328454936,0.25,64.1025641025641,0.25,1.0,0.5,1.0,0.25,0.0,3.0,AVL,Asheville Regional Airport,North Carolina,35.43611,-82.54205
BDL,0.011317712811693895,0.45900601456157014,0.030705919594808485,0.37293546346875905,0.40336134453781514,55.677241379310345,0.25,0.25,0.25,0.5,0.25,0.5,2.0,BDL,Bradley International Airport,Connecticut,41.93903,-72.68432
BNA,0.008910146173688736,0.4796944109368717,0.04141535987133092,0.3178891004796118,0.5930232558139535,59.46102263202012,0.25,0.25,0.5,0.25,0.25,0.25,1.75,BNA,Nashville International Airport,Tennessee,36.12447,-86.67818
BOS,0.1639975637718544,0.410202075368651,0.02667394866193337,0.48857623515178533,0.45240893066980026,48.47829791766523,0.5,0.5,0.25,0.25,0.5,0.5,2.5,BOS,General Edward Lawrence Logan International Airport,Massachusetts,42.36294,-71.00639
BQN,0.003940957294353683,0.5163636363636364,0.022727272727272728,0.22404062753997064,0.6730769230769231,50.33098591549296,0.25,0.5,0.5,0.25,0.5,0.25,2.25,BQN,Rafael Hernandez Airport,Puerto Rico,18.49486,-67.12944
BTV,0.0032172542275723704,0.3418708240534521,0.045657015590200446,0.3195624198871732,0.26666666666666666,46.79804560260586,0.5,0.25,0.5,1.0,0.5,0.25,3.0,BTV,Patrick Leahy Burlington International Airport,Vermont,44.5,-73.2
BUF,0.01004585841215248,0.3434379457917261,0.052781740370898715,0.2699352795245593,0.2653061224489796,55.23364485981308,0.5,0.25,0.5,1.0,0.25,0.25,2.75,BUF,Buffalo Niagara International Airport,New York,42.94043,-78.73057
BUR,0.001590713671539123,0.4954954954954955,0.09234234234234234,0.2882747385841398,0.5625,56.722727272727276,0.25,0.25,0.5,0.25,0.25,0.0,1.5,BUR,Bob Hope Airport,California,34.20069,-118.35867
BWI,0.0027120951562052166,0.3157199471598415,0.015852047556142668,0.18572695234800857,0.4,45.42259414225941,1.0,1.0,1.0,0.5,0.5,0.25,4.25,BWI,Baltimore/Washington International Thurgood Marshall Airport,Maryland,39.17573,-76.66899
BZN,0.0005194898251648037,0.5310344827586206,0.027586206896551724,0.1696547014017413,0.5,53.0,0.25,0.5,1.0,0.25,0.25,0.0,2.25,BZN,Bozeman Yellowstone International Airport,Montana,45.77724,-111.15026
CHS,0.009970621954714818,0.4728710025152713,0.03880704275961193,0.303063393438113,0.5535714285714286,58.047872340425535,0.25,0.25,0.5,0.25,0.25,0.25,1.75,CHS,Charleston Afb/International Airport,South Carolina,32.89864,-80.04053
CLE,0.0033892232731441672,0.35412262156448204,0.02854122621564482,0.4413774664852848,0.5151515151515151,42.474626865671645,0.5,0.5,0.25,0.25,0.5,0.25,2.25,CLE,Cleveland-Hopkins International Airport,Ohio,41.40941,-81.85469
CLT,0.002586701060475781,0.34349030470914127,0.023545706371191136,0.2770412237702765,0.41379310344827586,50.63709677419355,0.5,0.5,0.5,0.5,0.5,0.0,2.5,CLT,Charlotte/Douglas International Airport,North Carolina,35.21375,-80.94906
DCA,0.03737102321582115,0.396702137858307,0.030006710765986003,0.37061652790327887,0.4498567335243553,50.13943934267762,0.5,0.5,0.25,0.25,0.5,0.5,2.5,DCA,Ronald Reagan Washington Ntl Airport,Dist. Of Columbia,38.85144,-77.03772
DEN,0.006724706219547148,0.5316995205114544,0.022376132125732553,0.23116087273839234,0.6301369863013698,74.11723446893788,0.25,0.5,0.5,0.25,0.25,0.25,2.0,DEN,Denver International Airport,Colorado,39.86167,-104.67317
DFW,0.002586701060475781,0.3670360110803324,0.019390581717451522,0.4099246381539011,0.37037037037037035,70.5433962264151,0.5,0.5,0.25,0.5,0.25,0.0,2.0,DFW,Dallas-Fort Worth International Airport,Texas,32.89723,-97.03769
DTW,0.006391516193751791,0.45964125560538116,0.026905829596412557,0.4138978953596082,0.43636363636363634,52.67926829268293,0.25,0.5,0.25,0.25,0.25,0.25,1.75,DTW,Detroit Metro Wayne County Airport,Michigan,42.21244,-83.35339
EWR,0.028328317569504154,0.4063488048564563,0.031617554066017454,0.3992212515061452,0.41721854304635764,51.6171802054155,0.5,0.25,0.25,0.5,0.25,0.5,2.25,EWR,Newark Liberty International Airport,New Jersey,40.69248,-74.16869
EYW,0.0006627973631413012,0.5351351351351351,0.13513513513513514,0.4772096504394964,0.875,51.19191919191919,0.25,0.25,0.25,0.25,0.5,0.0,1.5,EYW,Key West International Airport,Florida,24.55612,-81.75996
FLL,0.06562052163943824,0.4944856955667176,0.026861760209652762,0.46031073655245563,0.5763411279229711,52.092304295020426,0.25,0.5,0.25,0.25,0.25,0.5,2.0,FLL,Fort Lauderdale/Hollywood International Airport,Florida,26.07167,-80.14969
HDN,0.00018629979936944684,0.3269230769230769,0.0,0.461441156153521,0.0,233.76470588235293,1.0,1.0,0.25,1.0,0.25,0.0,3.5,HDN,Yampa Valley Airport,Colorado,40.48119,-107.21767
HPN,0.017573086844368015,0.36636085626911313,0.04159021406727829,0.3717117163004283,0.3388888888888889,53.26711185308848,0.5,0.25,0.25,0.5,0.25,0.5,2.25,HPN,Westchester County Airport,New York,41.06695,-73.70757
HYA,0.00044425336772714244,0.5483870967741935,0.04838709677419355,0.08718173234810422,0.3333333333333333,43.73529411764706,0.25,0.25,1.0,0.5,0.5,0.0,2.5,HYA,Cape Cod Gateway Airport,Massachusetts,41.66934,-70.28036
IAH,0.0029198910862711378,0.49447852760736194,0.025766871165644172,0.2692749614297252,0.6,69.05210918114143,0.25,0.5,0.5,0.25,0.25,0.25,2.0,IAH,George Bush Intcntl/Houston Airport,Texas,29.98444,-95.34144
JAX,0.011342791630839783,0.46146557169930513,0.04042956411876184,0.355893223943375,0.48091603053435117,61.12594113620808,0.25,0.25,0.25,0.25,0.25,0.5,1.75,JAX,Jacksonville International Airport,Florida,30.49405,-81.68785
