Origin,percent_delayed,percent_diverted_cancelled,PercentAirportFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirportFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,TotalScore,IATA,Airport Name,Latitude,Longitude
ABQ,0.29655990510083036,0.010676156583629894,0.35651061942186185,0.4642857142857143,29.728,0.75,0.75,0.5,0.5,1.0,3.5,ABQ,Albuquerque International Sunport,35.039976,-106.608925
AGS,0.42857142857142855,0.047619047619047616,0.02873563218390805,,39.77777777777778,0.5,0.5,1.0,0.5,0.75,3.25,,,,
ALB,0.30598052851182195,0.016689847009735744,0.2756575295051173,0.3333333333333333,57.53636363636364,0.75,0.75,0.75,0.75,0.5,3.5,,,,
ANC,0.27349909035779263,0.010915706488781079,0.2658201194659456,0.25,53.749445676274945,0.75,0.75,0.75,0.75,0.5,3.5,ANC,Ted Stevens Anchorage International Airport,61.179004,-149.992561
ATL,0.3420986760656758,0.013313759581103661,0.25698933372229954,0.34872080088987767,31.505754627432367,0.5,0.75,0.75,0.75,1.0,3.75,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
ATW,0.31272727272727274,0.01090909090909091,0.4765956309958492,0.2727272727272727,54.46511627906977,0.75,0.75,0.5,0.75,0.5,3.25,,,,
AUS,0.2653152481740945,0.016544939633328364,0.2361211683603216,0.23684210526315788,51.02191011235955,0.75,0.75,0.75,0.75,0.5,3.5,AUS,Austin Bergstrom International Airport,30.197535,-97.662015
AVL,0.19059205190592052,0.0016220600162206002,0.2519775697733683,0.18181818181818182,42.65106382978723,1.0,1.0,0.75,1.0,0.75,4.5,,,,
BDL,0.24359939759036145,0.018072289156626505,0.28772373813101115,0.24299065420560748,42.22411128284389,0.75,0.75,0.75,0.75,0.75,3.75,BDL,Bradley International Airport,41.93851,-72.688066
BHM,0.19286510590858416,0.0189520624303233,0.25643382781713087,0.16417910447761194,47.09826589595376,1.0,0.75,0.75,1.0,0.75,4.25,,,,
