Origin,percent_delayed,percent_diverted_cancelled,PercentAirportFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirportFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,TotalScore,IATA,Airport Name,Latitude,Longitude
ABQ,0.65625,0.0125,0.09217422462204157,0.4,50.38095238095238,0.5,1.0,1.0,1.0,1.0,4.5,ABQ,Albuquerque International Sunport,35.039976,-106.608925
ACK,0.3304093567251462,0.043859649122807015,0.3025573083068612,0.16666666666666666,59.730088495575224,1.0,0.5,0.75,1.0,0.75,4.0,,,,
ALB,0.45689655172413796,0.034482758620689655,0.22890763720862684,0.5294117647058824,67.70283018867924,0.75,0.75,0.75,0.75,0.5,3.5,,,,
ATL,0.5585913782635095,0.022465088038858532,0.1963107778634345,0.559322033898305,58.08913043478261,0.5,1.0,1.0,0.75,0.75,4.0,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
AUS,0.49770642201834864,0.026376146788990827,0.2623792880875482,0.5483870967741935,47.105990783410135,0.75,0.75,0.75,0.75,1.0,4.0,AUS,Austin Bergstrom International Airport,30.197535,-97.662015
AVL,0.5,0.0,0.3081353007385564,0.0,62.2,0.75,1.0,0.75,1.0,0.5,4.0,,,,
BDL,0.46029609690444145,0.02826379542395693,0.2900078157921866,0.4157303370786517,56.3849902534113,0.75,0.75,0.75,0.75,0.75,3.75,BDL,Bradley International Airport,41.93851,-72.688066
BNA,0.48106274731486715,0.03900508762012436,0.2799409247908475,0.6,58.97884841363102,0.75,0.5,0.75,0.5,0.75,3.25,BNA,Nashville International Airport,36.1245,-86.6782
BOS,0.411847408379417,0.027369013028400037,0.3260683555206986,0.4582637729549249,48.6324533454711,0.75,0.75,0.5,0.75,1.0,3.75,BOS,Logan International Airport,42.36197,-71.0079
BQN,0.5266579973992198,0.01950585175552666,0.18821949074715336,0.7272727272727273,51.61234567901234,0.5,1.0,1.0,0.5,1.0,4.0,,,,
