,ArrDelayBlk,ANext_5,count,rollingSum,cumSum
5,-75.0,-5.010344827586208,58,58,58
6,-70.0,0.275949367088607,158,216,216
7,-65.0,1.0490566037735838,371,587,587
8,-60.0,-1.7645692158760893,1033,1620,1620
9,-55.0,-1.5911646586345392,2490,4110,4110
10,-50.0,-1.4976833976833983,6218,10328,10328
11,-45.0,-1.1380793854033255,15620,25948,25948
12,-40.0,-1.4760889017553975,38002,63950,63950
13,-35.0,-1.189307609483851,91028,154978,154978
14,-30.0,-0.8086857285938608,207707,362685,362685
15,-25.0,-0.2075557191540964,421158,783843,783843
16,-20.0,0.7674020673619077,715340,1499183,1499183
17,-15.0,1.992191475522686,941079,2440262,2440262
18,-10.0,3.533731401805761,943823,3384085,3384085
19,-5.0,5.2564922010175685,774631,4158716,4158716
20,0.0,7.131095384626189,569151,4727867,4727867
21,5.0,9.037368177978877,405007,5132874,5132874
22,10.0,10.972486540607237,296703,5429577,5429577
23,15.0,12.6756371436913,222653,5652230,5652230
24,20.0,14.178597929074751,172808,5825038,5825038
25,25.0,15.732044601231006,136681,5961719,5961719
26,30.0,16.982231834066248,110776,6072495,6072495
27,35.0,18.31103696154827,91275,6163770,6163770
28,40.0,19.42935199110694,76479,6240249,6240249
29,45.0,20.507648705709727,65388,6305637,6305637
30,50.0,21.82783961774562,55899,6361536,6361536
31,55.0,22.596278383474257,48815,6410351,6410351
32,60.0,23.105078541474324,42224,6452575,6452575
33,65.0,24.12428510570317,37574,6490149,6490149
34,70.0,24.86197035797495,33479,6523628,6523628
35,75.0,25.708947579165155,29980,6553608,6553608
36,80.0,25.696286567389837,26464,6580072,6580072
37,85.0,26.85161156338261,24087,6604159,6604159
38,90.0,28.074382006983853,21773,6625932,6625932
39,95.0,27.8972683073529,19953,6645885,6645885
40,100.0,29.031261543628048,17876,6663761,6663761
41,105.0,29.688208609876533,16429,6680190,6680190
42,110.0,29.752316665574575,15264,6695454,6695454
43,115.0,31.111070826924536,13656,6709110,6709110
44,120.0,31.2430566391012,12819,6721929,6721929
45,125.0,32.164711925348755,11682,6733611,6733611
46,130.0,32.882083561394,10966,6744577,6744577
47,135.0,32.120385561936025,9755,6754332,6754332
48,140.0,33.69254419677174,9110,6763442,6763442
49,145.0,34.202403387404665,8386,6771828,6771828
50,150.0,34.36386203292405,7656,6779484,6779484
51,155.0,36.26586396282213,7104,6786588,6786588
52,160.0,36.39500075746088,6602,6793190,6793190
53,165.0,34.758712182494804,6182,6799372,6799372
54,170.0,36.85743534482764,5568,6804940,6804940
55,175.0,36.9437133673662,5290,6810230,6810230
56,180.0,36.88278187565869,4747,6814977,6814977
57,185.0,37.14866986480583,4589,6819566,6819566
58,190.0,35.80028790786944,4168,6823734,6823734
59,195.0,36.53521405592672,4043,6827777,6827777
60,200.0,37.11423868312755,3646,6831423,6831423
61,205.0,37.91006160164269,3412,6834835,6834835
62,210.0,37.26372396642842,3219,6838054,6838054
63,215.0,38.19454984477401,2899,6840953,6840953
64,220.0,37.35430488259414,2684,6843637,6843637
65,225.0,36.421876216426604,2572,6846209,6846209
66,230.0,40.49280397022334,2418,6848627,6848627
67,235.0,36.36527777777778,2304,6850931,6850931
68,240.0,36.82530345471522,2142,6853073,6853073
69,245.0,37.64320316361833,2023,6855096,6855096
70,250.0,39.01201814058956,1766,6856862,6856862
71,255.0,37.04563970166376,1744,6858606,6858606
72,260.0,37.18607830950907,1609,6860215,6860215
73,265.0,38.212152553329034,1548,6861763,6861763
74,270.0,38.62901408450699,1421,6863184,6863184
75,275.0,41.043446244477245,1358,6864542,6864542
76,280.0,37.18741035856567,1255,6865797,6865797
77,285.0,40.97264957264958,1170,6866967,6866967
78,290.0,37.87366579177601,1144,6868111,6868111
79,295.0,36.13411078717198,1029,6869140,6869140
80,300.0,38.175944333996036,1006,6870146,6870146
81,305.0,40.702620967741915,992,6871138,6871138
82,310.0,38.57827547592386,893,6872031,6872031
83,315.0,39.984547461368656,907,6872938,6872938
84,320.0,40.60877419354841,776,6873714,6873714
85,325.0,36.12841225626735,718,6874432,6874432
86,330.0,39.484857142857116,701,6875133,6875133
87,335.0,30.971968503936974,635,6875768,6875768
88,340.0,37.28113522537565,599,6876367,6876367
89,345.0,41.11608391608393,572,6876939,6876939
90,350.0,42.71534391534394,567,6877506,6877506
91,355.0,37.50267175572517,524,6878030,6878030
92,360.0,37.33513824884791,434,6878464,6878464
93,365.0,33.056263736263745,455,6878919,6878919
94,370.0,34.49392033542975,477,6879396,6879396
95,375.0,41.54421768707483,441,6879837,6879837
96,380.0,33.14038997214483,359,6880196,6880196
97,385.0,41.94248704663211,387,6880583,6880583
98,390.0,38.36585365853656,370,6880953,6880953
99,395.0,32.613559322033886,354,6881307,6881307
100,400.0,34.497791798107265,317,6881624,6881624
101,405.0,33.99078947368422,304,6881928,6881928
102,410.0,37.278260869565216,299,6882227,6882227
103,415.0,28.677655677655693,273,6882500,6882500
104,420.0,32.08275862068966,261,6882761,6882761
105,425.0,34.23524590163932,244,6883005,6883005
106,430.0,36.414925373134324,268,6883273,6883273
107,435.0,32.080851063829805,235,6883508,6883508
108,440.0,36.91271186440681,236,6883744,6883744
109,445.0,31.661904761904776,210,6883954,6883954
110,450.0,26.769547325102888,243,6884197,6884197
111,455.0,34.78736842105262,190,6884387,6884387
112,460.0,30.014054054054036,185,6884572,6884572
113,465.0,32.6362694300518,193,6884765,6884765
114,470.0,33.37212121212123,165,6884930,6884930
115,475.0,34.903867403314926,181,6885111,6885111
116,480.0,31.991616766467068,167,6885278,6885278
117,485.0,31.177108433734944,166,6885444,6885444
118,490.0,35.37435897435897,195,6885639,6885639
119,495.0,33.74871794871795,156,6885795,6885795
120,500.0,23.737414965986403,147,6885942,6885942
121,505.0,37.321250000000006,160,6886102,6886102
122,510.0,16.772602739726022,146,6886248,6886248
123,515.0,32.938356164383556,146,6886394,6886394
124,520.0,29.01654135338346,133,6886527,6886527
125,525.0,28.5036496350365,137,6886664,6886664
126,530.0,27.583636363636373,110,6886774,6886774
127,535.0,25.097435897435897,117,6886891,6886891
